name,season,number,airdate,runtime,rating,summary,image_url
The One With Rachel's Phone Number,9,9,12/5/2002,30,{'average': 9.3},"While on a night out with Phoebe, Rachel impulsively gives her telephone number to a handsome restaurant patron.",https://image.tmdb.org/t/p/original/9fLrbwWlk71ijfQNQd7ZGIkokgM.jpg
The One With Christmas in Tulsa,9,10,12/12/2002,30,{'average': 8.7},"Because of a critical deadline at work, Chandler is stuck spending Christmas in Tulsa, Okla.",https://image.tmdb.org/t/p/original/dg0JY99c3DOKkt9VuBUQ1rYwctA.jpg
The One Where Rachel Goes Back to Work,9,11,1/9/2003,30,{'average': 9},"While visiting her workplace to show off baby Emma, Rachel is surprised to find a handsome temp who's been doing her job.",https://image.tmdb.org/t/p/original/zpY4Re3IqvYrPG75AlTrRQAvYNW.jpg
The One With Phoebe's Rats,9,12,1/16/2003,30,{'average': 9.1},Rachel is irritated to learn that her handsome workplace rival has been invited to her birthday party.,https://image.tmdb.org/t/p/original/lTlqu2AsioTFRDiok3oVV0OFTGl.jpg
The One Where Monica Sings,9,13,1/30/2003,30,{'average': 9},"While Rachel sorts out her conflicted feelings for Gavin, Ross sets out to make her jealous, enlisting Chandler to help him meet attractive women.",https://image.tmdb.org/t/p/original/upFUL4W5piQPWrHRwykCHNnlQe3.jpg
The One With the Blind Dates,9,14,2/6/2003,30,{'average': 9.1},"In an attempt to reunite Rachel and Ross, Joey and Phoebe arrange awful blind dates for both of them.",https://image.tmdb.org/t/p/original/FRftNRoz7VDKiWMBNfv0uxbMXh.jpg
The One With the Mugging,9,15,2/13/2003,30,{'average': 9.2},"Joey develops an unusual acting method to impress a famous fellow actor. Meanwhile, Chandler accepts an internship at an advertising agency.",https://image.tmdb.org/t/p/original/nBEazpZAqKuTMliM1ydfTq2QGWc.jpg
The One With the Boob Job,9,16,2/20/2003,30,{'average': 9.3},"Phoebe asks Mike to move in with her, but coming so close to married life may cause trouble in their relationship.",https://image.tmdb.org/t/p/original/4xNYEIa6uVBNSeplys4pAjT195U.jpg
The One With the Memorial Service,9,17,3/13/2003,30,{'average': 8.9},"When Chandler jokingly posts an outrageous biography about Ross on his college alumni Web site, Ross retaliates.",https://image.tmdb.org/t/p/original/z0Lu8f06CXqIB1KHqFNdU41zcco.jpg
The One With the Lottery,9,18,4/3/2003,30,{'average': 9.6},"Hoping to win a huge jackpot, the friends pool their money and buy dozens of lottery tickets.",https://image.tmdb.org/t/p/original/toJZ7LoCvdJRjLFLKmtDav3gBhi.jpg
The One With Rachel's Dream,9,19,4/17/2003,30,{'average': 9.1},"Nervous because his daytime-drama role requires him to act as if he's deeply in love with a woman, Joey rehearses with Rachel.",https://image.tmdb.org/t/p/original/862ijAk0BbamUuYNbPAR1vr60ov.jpg
The One With the Soap Opera Party,9,20,4/24/2003,30,{'average': 8.6},"Ross is excited when he meets fellow paleontologist Charlie Wheeler, who's a stunning beauty.",https://image.tmdb.org/t/p/original/4wH9b3svJ1m2kZGc7rNCqfkvvCJ.jpg
The One With the Fertility Test,9,21,5/1/2003,30,{'average': 8.5},"Ross is in agony because Charlie is dating Joey. Meanwhile, Chandler and Monica visit a fertility clinic.",https://image.tmdb.org/t/p/original/o7VpwLq0wtQLHEl0a05BNq4TWEb.jpg
